,Team,EV_xGF,EV_xGA,EV_TOI,5v5_xGF,5v5_xGA,5v5_TOI,ALL_xGF,ALL_xGA,ALL_TOI,EV_xGF/60,EV_xGA/60,5v5_xGF/60,5v5_xGA/60,ALL_xGF/60,ALL_xGA/60,EV_xGF%,5v5_xGF%,ALL_xGF%
0,ANA,17.842601815765512,17.913304517203272,452.46666666666664,16.728099245877804,17.14850871203671,438.3833333333333,26.34807148878606,31.41075755615283,544.4666666666667,2.3660441482523886,2.375419782743914,2.289516681943508,2.3470566613440353,2.903546509110745,3.4614524060900633,49.901131437168225,49.37949887621395,45.61739204976976
1,ARI,18.491600345387976,15.598160748990992,416.65,17.635481980468803,15.058856418097829,403.5333333333333,26.440989574984552,22.639749546007046,500.0,2.6628969656144936,2.246224996854577,2.622159884754985,2.2390501860710468,3.1729187489981463,2.7167699455208454,54.24385431799649,53.94047668278239,53.872435600049606
2,BOS,19.376868694400457,16.687024860296997,445.06666666666666,18.54592933068417,16.0657638152745,435.59999999999997,27.571083132757373,26.782324264667977,545.7333333333333,2.6122201655123445,2.2495989176553772,2.554535720479914,2.212915126070868,3.0312698289129774,2.9445506765454654,53.72927541784114,53.58284338323285,50.72558364402262
3,BUF,17.506917160435734,17.07061336210787,437.23333333333335,17.052227564900306,16.53403612074738,418.01666666666665,23.792589494097296,27.771416809652457,541.7666666666667,2.4024129670491976,2.34254052388459,2.4475905758797936,2.3732119945253607,2.635000374661609,3.075650664946436,50.630906533425524,50.77143359708446,46.14185591775302
4,CAR,19.954702571100224,18.07757703546644,482.56666666666666,19.219908965575875,17.110101995823243,465.98333333333335,33.03421217579269,27.558107076338718,624.8333333333334,2.4810709834897016,2.24767829411063,2.474754900964739,2.203096218926416,3.1721302702815066,2.646283955049863,52.467805710112735,52.903669602514455,54.518811267701516
5,CBJ,18.658169916374238,22.405250754490364,426.2166666666667,17.990647404768342,20.626322815584132,420.35,29.163669995006874,31.279072834652176,549.7333333333333,2.6265753606908557,3.1540649402168426,2.5679525259571796,2.94416407502093,3.1830345616670126,3.4139177238887894,45.43744678731214,46.587413000325576,48.25007706416718
6,CGY,16.241571267833287,18.79495427948364,442.31666666666666,16.074022157626832,17.810724239077757,437.91666666666663,25.82139910111794,29.96215496175039,560.0,2.2031597484532135,2.549524677122013,2.2023398579431626,2.4402895246690743,2.766578475119779,3.21023088875897,46.35611269701671,47.437339413554206,46.28855141072062
7,CHI,15.97553496049698,23.152658999907594,428.18333333333334,15.539463355088651,22.367798307715947,412.78333333333336,23.368677466566393,34.03056119044722,542.8333333333334,2.2386020730134724,3.244310163079185,2.258734125179438,3.251264743722591,2.582967113283359,3.7614375279585506,40.82870519570436,40.993368218776666,40.71252165242957
8,COL,17.67883094362169,14.240542091657925,371.8333333333333,17.065293461678273,13.98390535194465,363.09999999999997,26.949800750109286,22.490026368105926,500.0,2.852702438235683,2.2978911488107814,2.8199328220894975,2.3107527433673343,3.2339760900131145,2.6988031641727113,55.38589659665858,54.96210567014962,54.51030539744771
9,DAL,18.944781949156496,14.017145829766722,331.6166666666667,17.79749970449932,13.046263996597926,324.26666666666665,22.60302824061527,19.612855198719572,462.2166666666667,3.4277134752456844,2.536147408511846,3.293122889401601,2.413987992791557,2.93408220049093,2.5459300730317835,57.4747389661788,57.70210106967648,53.541526077729294
10,DET,21.08173389600849,23.428522456479115,510.4666666666667,19.9206104913696,22.451352502335638,494.28333333333336,30.505217270337983,34.70669228604731,606.3333333333334,2.4779365948031398,2.7537769636713074,2.418120435948699,2.725321813009013,3.0186581136123345,3.434417048646792,47.36376651946708,47.01365970306591,46.77859838464281
11,EDM,19.783536574357434,16.777873928527523,406.6833333333333,19.09626572947551,15.941170391229718,398.7,26.612757036164897,25.042175850098772,483.8833333333333,2.918762823969787,2.4753225745952663,2.873779643261927,2.3989722183942392,3.2998975417694907,3.1051504515673742,54.110430375207685,54.50246320446561,51.52026253671098
12,FLA,15.018956144839398,14.426845537785981,379.45,14.546498430734493,13.766654886865613,363.46666666666664,24.52342524064989,21.98957624023143,483.6,2.37485141307251,2.281224752318247,2.4012928443985775,2.272558583671873,3.042608590651351,2.728235265537398,51.005424497243,51.37717536284472,52.72380723641321
13,L.A,19.742297595738076,16.42997645710363,446.1666666666667,19.163919712373936,15.781236205472354,433.8666666666667,31.023955139270704,24.95790033731196,580.0,2.654922351313301,2.209485067074078,2.650204016769598,2.1824082029694405,3.209374669579728,2.5818517590322716,54.57853594412628,54.83998914592632,55.41787580129082
14,MIN,17.725483454258917,19.47800836613554,415.4666666666667,16.45252421292006,18.614136297488557,405.51666666666665,28.399376456619592,27.191225433746954,563.1166666666667,2.5598419622646063,2.8129344559566727,2.4343055018910946,2.754136314617517,3.025949484826428,2.897221166764999,47.644676848698495,46.91785295048715,51.086650424522574
15,MTL,20.133823754795458,20.141772605641137,442.9166666666667,17.661517737922495,18.322521862822132,436.18333333333334,29.07880745706372,34.972741757236705,605.0666666666666,2.7274417880437873,2.7285185843954127,2.4294625293844705,2.520388166526295,2.8835309289728244,3.467988935821181,49.99013192657094,49.08153151753707,45.399069677102304
16,N.J,17.544102286506302,16.119999809193775,388.9166666666667,16.353703642231206,15.400283709708111,369.96666666666664,25.595491902802138,24.97123801665876,502.31666666666666,2.706611023416442,2.4869080485578565,2.6521908780985832,2.497568310431084,3.057293568137221,2.9827285862162496,52.11516480264957,51.501260175542754,50.61725752005087
17,NSH,20.498788281878888,16.337426845948293,449.75,20.149108439671718,15.195951465458677,439.01666666666665,32.20451539494846,24.92354201091202,542.2166666666667,2.734691043719251,2.1795344319219514,2.753759932531726,2.076816570200495,3.5636509212742276,2.757961185236015,55.64846499767966,57.00685893234839,56.37250215976145
18,NYI,19.534595630300398,19.241866912697972,398.31666666666666,18.798024277697788,18.304258509817384,387.15,25.962740658468576,25.30095736713929,483.73333333333335,2.9425726712030396,2.8984777976364158,2.9132931852301884,2.8367700131448874,3.22029583691038,3.138211360312205,50.37745670750371,50.66541157414518,50.64546971523465
19,NYR,17.079713575023437,18.044272092826926,456.76666666666665,16.010236288629017,17.13047614308526,451.0833333333333,25.42050661873553,25.105532413339816,548.3666666666667,2.2435586685428146,2.370261239662006,2.129571425792147,2.278578020140659,2.7814061098853538,2.7469429423142464,48.626923312569325,48.309873608232664,50.31169493139544
20,OTT,16.631244211987184,16.621650778840902,401.78333333333336,16.19445930523453,16.327524429776968,389.73333333333335,26.585343118183463,23.207483631118713,480.0,2.4836138533684764,2.482181225528985,2.4931600025164347,2.5136455673621745,3.323167889772933,2.900935453889839,50.01442495931396,49.795422804422614,53.391913763072395
21,PHI,20.55465669030346,17.576968434084858,435.51666666666665,20.42698555480441,17.12671616696717,423.93333333333334,28.605083482062348,22.704443789689094,542.2166666666667,2.8317616656497058,2.4215332885349006,2.891065733499602,2.4239730382560865,3.1653490466733607,2.512402718559024,53.90448642892238,54.39406667855052,55.750042931716756
22,PIT,25.221188881826187,19.521106603187853,436.96666666666664,25.086622573802867,19.15845337363644,428.1333333333333,36.27175976355326,26.622236132708327,540.0,3.463127621274478,2.6804479278158624,3.5157210084743977,2.6849280654426653,4.030195529283696,2.9580262369675916,56.369903708391,56.699241749758514,57.671259786674256
23,S.J,15.64918065824039,23.72111656948015,439.21666666666664,15.614568657157655,22.895259948508983,423.84999999999997,21.145914430615562,36.86619049800193,560.0,2.1377850859357723,3.2404667267532554,2.2103907500989957,3.2410418707338424,2.2656336889945243,3.9499489819287774,39.74869828318653,40.54697001393562,36.45086565404773
24,SEA,23.300555272472657,21.955095459110915,493.6666666666667,21.498797574082623,21.15842473695119,481.8333333333333,30.9959708382581,30.267548084151326,632.6333333333333,2.8319378454051845,2.668411331964865,2.677124568201226,2.634739849637644,2.939709547861562,2.8706247195043146,51.48651029386564,50.39896272974552,50.59449960345024
25,STL,12.613351439101534,15.696041914946374,333.51666666666665,11.809014422371087,14.724101680172879,322.56666666666666,17.50918511824237,21.06070314288873,460.0,2.26915522366526,2.8237344907204514,2.19657186734194,2.7388015939145585,2.2838067545533525,2.747048236028965,44.55535758521641,44.50670014306707,45.39599648227993
26,T.B,17.795670215046854,23.235280526285177,448.68333333333334,17.235012582081836,21.691712584464387,436.21666666666664,27.808622975731176,30.83348420350349,548.7333333333333,2.379718909927888,3.1071286317234366,2.370612665552081,2.9836153785990067,3.040670717793471,3.371417298402763,43.371332843917266,44.2755266679707,47.42091359496421
27,TOR,20.97120906845238,19.902661242514938,440.55,19.39538690386067,19.5118095242319,424.4,31.510645162193942,27.435679985081126,566.3,2.8561401523258265,2.7106109965972,2.742043388858719,2.758502760258987,3.3385815110924186,2.906835244755196,51.307128267775916,49.850384207730826,53.45650485160158
28,VAN,17.338248450152065,18.621161715099333,440.26666666666665,15.82244808348885,18.10231564067233,429.96666666666664,25.98357547088265,29.10582397834809,543.8,2.3628745616500395,2.5377113179269233,2.207954612782381,2.5261003297317774,2.8668895333816824,3.2113818291667626,48.21616475485604,46.63981807549073,47.166198453168064
29,VGK,21.084042343507146,22.94238937408052,470.7,20.030349697814284,21.776117523178396,458.85,28.797861645189176,30.379128454250118,662.8333333333334,2.687577099236093,2.9244600859248595,2.6192023141960488,2.847481859846799,2.6067966286819466,2.749933679539865,47.88950982617221,47.91208401305971,48.66395130404248
30,WPG,19.045296403837597,18.03690951303369,459.3666666666667,17.492651540569888,16.928085282374443,450.41666666666663,28.38976480767784,26.48048195410972,568.45,2.487594044474833,2.3558839796430333,2.3301959499001517,2.254990083868566,2.996544794547753,2.7950196450815077,51.35966411095452,50.820096125628424,51.73981617201125
31,WSH,15.193164379732416,17.99823921056287,396.55,14.481791965202325,16.828226356546622,379.26666666666665,25.4114281039013,25.773658138318428,520.7833333333333,2.298801822680481,2.723223685875103,2.291019998010563,2.662226001211454,2.927677574616593,2.9694104809404536,45.77439558529153,46.2529015996864,49.6461566629946
